Magnitude,Cleaned,Frequency [1/hour],intraday,overnight,monthly,seasonal
707780.098184492,0,0.431182292383395,10859728411.3432,0,0,0
542422.681140743,0,0.431193707778195,10859728411.3432,0,0,0
771053.722822135,0,0.431205123172995,10859728411.3432,0,0,0
878150.586920442,0,0.431216538567795,10859728411.3432,0,0,0
1205559.40250281,0,0.431227953962595,10859728411.3432,0,0,0
925324.929004975,0,0.431239369357395,10859728411.3432,0,0,0
1098544.9200792,0,0.431250784752195,10859728411.3432,0,0,0
687033.713528313,0,0.431262200146994,10859728411.3432,0,0,0
666853.474936436,0,0.431273615541794,10859728411.3432,0,0,0
552673.443694039,0,0.431285030936594,10859728411.3432,0,0,0
1821532.22652369,0,0.431296446331394,10859728411.3432,0,0,0
879850.950795485,0,0.431307861726194,10859728411.3432,0,0,0
830044.653319215,0,0.431319277120994,10859728411.3432,0,0,0
338654.703348903,0,0.431330692515794,10859728411.3432,0,0,0
437236.654088168,0,0.431342107910594,10859728411.3432,0,0,0
593932.50905754,0,0.431353523305394,10859728411.3432,0,0,0
1634350.16257585,0,0.431364938700194,10859728411.3432,0,0,0
1223116.79700589,0,0.431376354094994,10859728411.3432,0,0,0
